,Antenna Offset from Bow,Antenna Offset from Port,Beam,Builder,Call Sign,Cargo Type,Class Society,COG,Beneficial Owner,Deadweight,Destination,Design Draft,Draft Present Load,ETA,Fishing Number,Flag,Gross Tonnage,Heading,IMO Number,Last Port of Call,Latitude,Length,Longitude,MMSI,Name,Navigation Status,Official Number,Operator,Registered Owner,P And I Club,Port Of Registry,Propulsion Type,Sat Com,Sat Com Ansbk Code,Ship Type,Speed,Status,Sub Status,Subtype,Time of Fix (formatted),Time of Fix (s since 1970),Vessel Type,Year Built,Design Speed,Double Hull,coordinates,index_right,MRGID,GEONAME,MRGID_TER1,POL_TYPE,MRGID_SOV1,TERRITORY1,ISO_TER1,SOVEREIGN1,MRGID_TER2,MRGID_SOV2,TERRITORY2,ISO_TER2,SOVEREIGN2,MRGID_TER3,MRGID_SOV3,TERRITORY3,ISO_TER3,SOVEREIGN3,X_1,Y_1,MRGID_EEZ,AREA_KM2,ISO_SOV1,ISO_SOV2,ISO_SOV3,UN_SOV1,UN_SOV2,UN_SOV3,UN_TER1,UN_TER2,UN_TER3
1512,114.0,6.0,22.0,Iwagi Zosen Co Ltd,H3UQ,0-AllShips,Panama Maritime Documentation,109.9,Hong Kong,10464.0,Open Sea,8.8,6.8,3241100.0,,Panama,9829.0,112.0,9045936.0,PORT ELIZABETH,20.626282,141.0,160.762653,356258000,Shun Ze Leng 7,0-Underway(Engine),49759PEXT,Oceangrowing Shipping Ltd,  Unknown,Unknown,Panama,Propeller : Fixed Pitch,,,,14.3,S,In Service/Commission,Refrigerated Cargo Ship,"""2023-03-03T17:07:34.000Z""",1677863254,9-Other,1992-02-18,19.0,,POINT (160.762653 20.626282),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1513,105.0,12.0,20.0,,A8TR8,9-NoInfo,,237.9,,,Singapore,,7.2,6240900.0,,,,276.0,8301682.0,,38.949088,138.0,117.870233,636014413,Antarctic Star,0-Underway(Engine),,,,,,,,,,0.3,,,,"""2021-07-25T08:26:45.000Z""",1627201605,7-Cargo,,,,POINT (117.870233 38.949088),209.0,8486.0,Chinese Exclusive Economic Zone,8603.0,200NM,8603.0,China,CHN,China,0.0,0.0,,,,0.0,0.0,,,,118.1457,27.73853,8486.0,963556.0,CHN,,,156.0,,,156.0,,
1514,22.0,6.0,8.0,Niigata Engineering - Niigata,UBYL3,0-AllShips,Russian Maritime Register,298.8,Russia,406.0,Ru Ska,3.347,4.6,3081000.0,,Russia,543.0,307.0,8804141.0,PETROPAVLOVSK,49.993748,51.0,155.337218,273349480,Solid,0-Underway(Engine),,Akros Fishing,Akros Fishing,Unknown,Vanino,Propeller : Controllable Pitch,,,,3.1,S,In Service/Commission,Refrigerated Cargo Ship,"""2023-03-03T18:01:44.000Z""",1677866504,30-Fishing,1988-01-08,10.0,,POINT (155.337218 49.993748),273.0,5690.0,Russian Exclusive economic Zone,2240.0,200NM,2240.0,Russia,RUS,Russia,0.0,0.0,,,,0.0,0.0,,,,93.55011,71.3249,5690.0,7734809.0,RUS,,,643.0,,,643.0,,
1515,200.0,10.0,32.0,Sanoyas Shipbuilding Corp,HPNP,0-AllShips,American Bureau of Shipping,99.2,Japan,82072.0,Sg Sin,14.62,13.2,3270700.0,,Panama,43318.0,99.0,9686273.0,SANTOS,-35.626552,229.0,-4.889885,374407000,Cepheus Ocean,0-Underway(Engine),50932TJ,Diamond Bulk Carriers Pte Ltd,MC Shipping Ltd-JPN,Japan P&I Club,Panama,Propeller : Fixed Pitch,,,,10.0,S,In Service/Commission,Bulk Carrier,"""2023-03-03T18:36:01.000Z""",1677868561,7-Cargo,2014-09-24,13.6,DBE,POINT (-4.889885 -35.626552),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1516,0.0,0.0,0.0,,YEA4532,0-AllShips,,338.7,,,,,0.0,0.0,,,,338.7,0.0,,-8.247803,0.0,139.148743,525700304,Naili.8,15-NotDefined,,,,,,,,,,0.2,,,,"""2023-01-19T05:03:03.000Z""",1674104583,30-Fishing,,,,POINT (139.148743 -8.247803),263.0,8492.0,Indonesian Exclusive Economic Zone,2127.0,200NM,2127.0,Indonesia,IDN,Indonesia,0.0,0.0,,,,0.0,0.0,,,,117.89096,-3.30391,8492.0,6020917.0,IDN,,,360.0,,,360.0,,
1517,12.0,6.0,12.0,Rigas Buvetava,CA7173,6-Reserved,,20.7,Norway,1250.0,Caicaen,4.5,25.5,1201700.0,,Chile,1256.0,131.0,9345520.0,PUERTO CHACABUCO,-41.788297,57.0,-73.188547,725002634,Ronia Pioneer,0-Underway(Engine),3432,Solvtrans Rederi AS,Solvtrans Rederi AS,Gard,Valparaiso,Propeller : Controllable Pitch,,,,0.2,S,In Service/Commission,Fish Carrier,"""2023-03-03T18:29:19.000Z""",1677868159,7-Cargo,2005-08-10,14.0,SH,POINT (-73.188547 -41.788297),10.0,8465.0,Chilean Exclusive Economic Zone,2165.0,200NM,2165.0,Chile,CHL,Chile,0.0,0.0,,,,0.0,0.0,,,,-75.62881,-40.98629,8465.0,2488052.0,CHL,,,152.0,,,152.0,,
1518,0.0,0.0,0.0,,VABZ,0-AllShips,,20.0,,,Pap,,3.2,5071900.0,,,,182.0,8712075.0,PORT AU PRINCE,18.554767,0.0,-72.38525,355466000,Dutch Runner,8-Underway(Sailing),,,,,,,,,,0.1,,,,"""2021-03-11T19:46:37.000Z""",1615491997,7-Cargo,,,,POINT (-72.38525 18.554767),108.0,8408.0,Haitian Exclusive Economic Zone,8639.0,200NM,8639.0,Haiti,HTI,Haiti,0.0,0.0,,,,0.0,0.0,,,,-73.54856,17.91219,8408.0,103485.0,HTI,,,332.0,,,332.0,,
1519,20.0,5.0,10.0,Dekom,WDE6294,0-AllShips,,0.0,United States of America,108.0,,0.0,0.0,0.0,,United States Of America,196.0,0.0,0.0,SAN DIEGO,32.630733,35.0,-117.106012,367378390,Rival,15-NotDefined,550412,Everingham Bros Bait Co,Everingham Bros Bait Co,Unknown,"San Diego, CA",Propeller : Fixed Pitch,,,,0.0,S,In Service/Commission,Fish Carrier,"""2023-03-03T18:37:35.000Z""",1677868655,30-Fishing,0000-00-00,0.0,SH,POINT (-117.106012 32.630733),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1520,116.0,32.0,38.0,Kanasashi - Toyohashi,C6FI3,9-NoInfo,Bureau Veritas,82.9,Netherlands,11579.0,High Sea,9.417,6.1,1230800.0,,Bahamas,9070.0,233.0,9019640.0,MONTEVIDEO,-46.54209,130.0,-59.884447,311001116,Runaway Bay,3-ResManoeuvre,7001430,Seatrade Reefer Chartering NV,Seatrade Groningen BV,North of England,Nassau,Propeller : Fixed Pitch,,,,0.9,S,In Service/Commission,Refrigerated Cargo Ship,"""2023-03-03T17:45:56.000Z""",1677865556,7-Cargo,1991-10-29,17.4,,POINT (-59.884447 -46.54209),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1521,135.0,6.0,26.0,Shikoku Dockyard,9V9355,0-AllShips,Nippon Kaiji Kyokai,26.0,Singapore,13059.0,Gbpme,9.72,9.1,3051900.0,,Singapore,14284.0,27.0,9438494.0,DAKAR,44.267967,163.0,-9.979917,566059000,Cs Quality,0-Underway(Engine),396961,Star Reefers Pool Inc,Grace Ocean Pte Ltd,Japan P&I Club,Singapore,Propeller : Fixed Pitch,,,Other Cargo Ship,17.3,S,In Service/Commission,Refrigerated Cargo Ship,"""2023-03-03T16:29:47.000Z""",1677860987,7-Cargo,2008-01-09,21.0,,POINT (-9.979917 44.267967),276.0,5693.0,Spanish Exclusive Economic Zone,2185.0,200NM,2185.0,Spain,ESP,Spain,0.0,0.0,,,,0.0,0.0,,,,-4.15801,41.72201,5693.0,561763.0,ESP,,,724.0,,,724.0,,
